cityCode,areaCode
0110100,101
0110200,101
0110300,101
0110400,101
0110500,101
0110600,101
0110700,101
0110800,101
0110900,101
0111000,101
0120600,161
0120800,141
0123300,145
0134600,105
0148400,130
0160100,150
0410100,222
0410200,222
0410300,222
0410400,222
0410500,222
0421300,220
0421500,220
0442100,222
0520100,231
0521000,231
0620300,240
0620400,240
0720300,250
0734400,250
1110100,331
1110200,331
1110300,331
1110400,331
1110500,331
1110600,331
1110700,331
1110800,331
1110900,331
1111000,331
1210100,341
1210200,341
1210300,341
1210400,341
1210500,341
1210600,341
1410100,360
1410200,360
1410300,360
1410400,360
1410500,360
1410600,360
1410700,360
1410800,360
1410900,360
1411000,360
1411100,360
1411200,360
1411300,360
1411400,360
1411500,360
1411600,360
1411700,360
1411800,360
1413100,360
1413200,360
1413300,360
1413400,360
1413500,360
1413600,360
1413700,360
1415100,361
1415200,361
1415300,361
1510100,372
1510200,372
1510300,372
1510400,372
1510500,372
1510600,372
1510700,372
1510800,372
1620100,380
2020100,420
2020200,421
2020500,422
2020900,422
2021500,421
2210100,442
2210200,442
2210300,442
2310100,451
2310200,451
2310300,451
2310400,451
2310500,451
2310600,451
2310700,451
2310800,451
2310900,451
2311000,451
2311100,451
2311200,451
2311300,451
2311400,451
2311500,451
2311600,451
2321100,451
2420100,461
2420400,461
2520100,501
2620100,510
2621200,510
2621300,511
2621400,511
2640700,511
2646500,510
2710200,520
2710300,520
2710400,520
2710600,520
2710700,520
2710800,520
2710900,520
2711100,520
2711300,520
2711400,520
2711500,520
2711600,520
2711700,520
2711800,520
2711900,520
2712000,520
2712100,520
2712200,520
2712300,520
2712400,520
2712500,520
2712600,520
2712700,520
2712800,520
2714100,521
2714200,521
2714300,521
2714400,521
2714500,521
2714600,521
2714700,521
2810100,531
2810200,531
2810500,531
2810600,531
2810700,531
2810800,531
2810900,531
2811000,531
2811100,531
2920700,540
3020600,551
3120100,560
3139000,563
3310100,581
3310200,581
3310300,581
3310400,581
3410100,592
3410200,592
3410300,592
3410400,592
3410500,592
3410600,592
3410700,592
3410800,592
3620500,600
3620600,600
3620700,600
3620800,600
3636800,601
3638700,601
3638800,601
3646800,600
3648900,600
4010100,711
4010300,711
4010500,711
4010600,711
4010700,711
4010800,711
4010900,711
4013100,710
4013200,710
4013300,710
4013400,710
4013500,710
4013600,710
4013700,710
4220900,735
4221200,731
4310100,741
4310200,741
4310300,741
4310400,741
4310500,741
4320200,741
4321500,743
4344700,741
4735700,803
4735800,803
0120200,106
0120300,115
0120400,126
0120500,146
0120700,156
0120900,122
0121000,122
0121100,140
0121200,131
0121300,146
0121400,135
0121500,122
0121600,121
0121700,101
0121800,121
0121900,142
0122000,125
0122100,125
0122200,122
0122300,167
0122400,102
0122500,121
0122600,121
0122700,121
0122800,120
0122900,127
0123000,146
0123100,102
0123400,102
0123500,100
0123600,106
0130300,100
0130400,100
0133100,107
0133200,107
0133300,107
0133400,107
0133700,106
0134300,106
0134500,106
0134700,105
0136100,110
0136200,110
0136300,110
0136400,110
0136700,119
0137000,110
0137100,110
0139100,117
0139200,117
0139300,117
0139400,117
0139500,116
0139600,116
0139700,116
0139800,116
0139900,116
0140000,116
0140100,117
0140200,117
0140300,117
0140400,117
0140500,115
0140600,115
0140700,115
0140800,115
0140900,115
0142300,122
0142400,121
0142500,121
0142700,122
0142800,122
0142900,122
0143000,122
0143100,121
0143200,121
0143300,120
0143400,120
0143600,121
0143700,120
0143800,120
0145200,126
0145300,126
0145400,126
0145500,126
0145600,126
0145700,126
0145800,126
0145900,126
0146000,127
0146100,127
0146200,127
0146300,127
0146400,125
0146500,125
0146800,125
0146900,125
0147000,125
0147100,125
0147200,125
0148100,131
0148200,131
0148300,130
0148500,130
0148600,130
0148700,130
0151100,135
0151200,136
0151300,136
0151400,136
0151600,135
0151700,139
0151800,139
0151900,139
0152000,135
0154300,140
0154400,140
0154500,140
0154600,140
0154700,140
0154900,141
0155000,141
0155200,141
0155500,142
0155900,142
0156000,142
0156100,142
0156200,142
0156300,142
0156400,140
0157100,145
0157500,145
0157800,146
0158100,146
0158400,145
0158500,146
0158600,146
0160200,150
0160400,151
0160700,152
0160800,152
0160900,152
0161000,151
0163100,156
0163200,156
0163300,155
0163400,155
0163500,155
0163600,156
0163700,156
0163800,156
0163900,157
0164100,157
0164200,157
0164300,156
0164400,156
0164500,156
0164600,156
0164700,155
0164800,155
0164900,156
0166100,161
0166200,161
0166300,161
0166400,161
0166500,160
0166700,161
0166800,161
0169100,166
0169200,165
0169300,165
0169400,140
0220100,200
0220200,201
0220300,202
0220400,201
0220500,200
0220600,202
0220700,202
0220800,203
0220900,200
0221000,201
0230100,200
0230300,200
0230400,200
0230700,200
0232100,201
0232300,201
0234300,201
0236100,201
0236200,201
0236700,201
0238100,200
0238400,200
0238700,200
0240100,202
0240200,202
0240500,202
0240600,202
0240800,202
0241100,202
0241200,202
0242300,203
0242400,203
0242500,203
0242600,203
0244100,202
0244200,202
0244300,202
0244500,202
0244600,202
0245000,202
0320100,212
0320200,210
0320300,211
0320500,213
0320600,213
0320700,210
0320800,213
0320900,213
0321000,211
0321100,211
0321300,212
0321400,212
0321500,213
0321600,212
0330100,212
0330200,212
0330300,212
0332100,212
0332200,212
0336600,213
0338100,213
0340200,213
0344100,211
0346100,211
0348200,210
0348300,210
0348400,210
0348500,210
0350100,212
0350300,210
0350600,212
0350700,210
0352400,212
0420200,222
0420300,222
0420500,220
0420600,221
0420700,221
0420800,221
0420900,222
0421100,221
0421200,220
0421400,222
0421600,222
0430100,221
0430200,221
0432100,221
0432200,221
0432300,221
0432400,221
0434100,221
0436100,221
0436200,221
0440100,222
0440400,222
0440600,222
0442200,222
0442400,222
0444400,220
0444500,220
0450100,220
0450500,220
0458100,222
0460600,220
0520200,230
0520300,233
0520400,232
0520600,230
0520700,233
0520900,232
0521100,230
0521200,233
0521300,232
0521400,231
0521500,233
0530300,232
0532700,232
0534600,230
0534800,230
0534900,230
0536100,230
0536300,230
0536600,230
0536800,230
0543400,233
0546300,233
0546400,233
0620100,242
0620200,243
0620500,241
0620600,242
0620700,242
0620800,242
0620900,243
0621000,242
0621100,242
0621200,242
0621300,243
0630100,242
0630200,242
0632100,242
0632200,242
0632300,242
0632400,242
0634100,242
0636100,241
0636200,241
0636300,241
0636400,241
0636500,241
0636600,241
0636700,241
0638100,243
0638200,243
0640100,243
0640200,243
0640300,243
0642600,240
0642800,240
0646100,240
0720100,250
0720200,252
0720400,251
0720500,250
0720700,250
0720800,252
0720900,251
0721000,250
0721100,250
0721200,251
0721300,250
0721400,250
0730100,250
0730300,250
0730800,250
0732200,250
0734200,250
0736200,252
0736400,252
0736700,252
0736800,252
0740200,252
0740500,252
0740700,252
0740800,252
0742100,252
0742200,252
0742300,252
0744400,252
0744500,252
0744600,252
0744700,252
0746100,250
0746400,250
0746500,250
0746600,250
0748100,250
0748200,250
0748300,250
0748400,250
0750100,250
0750200,250
0750300,250
0750400,250
0750500,250
0752100,250
0752200,250
0754100,251
0754200,251
0754300,251
0754400,251
0754500,251
0754600,251
0754700,251
0754800,251
0756100,251
0756400,251
0820100,300
0820200,300
0820300,301
0820400,301
0820500,301
0820700,301
0820800,301
0821000,301
0821100,301
0821200,300
0821400,300
0821500,300
0821600,300
0821700,301
0821900,301
0822000,301
0822100,300
0822200,301
0822300,301
0822400,301
0822500,300
0822600,300
0822700,301
0822800,301
0822900,301
0823000,301
0823100,301
0823200,301
0823300,301
0823400,301
0823500,301
0823600,300
0830200,300
0830900,300
0831000,300
0834100,300
0836400,300
0844200,301
0844300,301
0844700,301
0852100,301
0854200,301
0854600,301
0856400,301
0920100,311
0920200,311
0920300,311
0920400,311
0920500,311
0920600,310
0920800,311
0920900,311
0921000,310
0921100,310
0921300,310
0921400,311
0921500,311
0921600,311
0930100,311
0934200,311
0934300,311
0934400,311
0934500,311
0936100,311
0936400,311
0938400,310
0938600,311
0940700,310
0941100,311
1020100,321
1020200,321
1020300,321
1020400,321
1020500,321
1020600,320
1020700,321
1020800,321
1020900,321
1021000,321
1021100,321
1021200,321
1034400,321
1034500,321
1036600,321
1036700,321
1038200,321
1038300,321
1038400,321
1042100,320
1042400,320
1042500,320
1042600,320
1042800,320
1042900,320
1044300,320
1044400,320
1044800,320
1044900,320
1046400,321
1052100,321
1052200,321
1052300,321
1052400,321
1052500,321
1120100,331
1120200,330
1120300,331
1120600,330
1120700,332
1120800,331
1120900,331
1121000,330
1121100,330
1121200,330
1121400,331
1121500,331
1121600,330
1121700,330
1121800,330
1121900,331
1122100,331
1122200,331
1122300,331
1122400,331
1122500,331
1122700,331
1122800,331
1122900,331
1123000,331
1123100,331
1123200,330
1123300,331
1123400,331
1123500,331
1123700,331
1123800,331
1123900,331
1124000,331
1124100,331
1124200,331
1124300,331
1124500,331
1124600,331
1130100,331
1132400,331
1132600,331
1132700,331
1134100,330
1134200,330
1134300,330
1134600,331
1134700,330
1134800,330
1134900,330
1136100,332
1136200,332
1136300,332
1136500,332
1136900,330
1138100,330
1138300,321
1138500,330
1140800,330
1144200,331
1146400,331
1146500,331
1220200,340
1220300,341
1220400,341
1220500,342
1220600,342
1220700,341
1220800,341
1221000,340
1221100,341
1221200,341
1221300,340
1221500,340
1221600,341
1221700,341
1221800,342
1221900,341
1222000,341
1222100,341
1222200,341
1222300,342
1222400,341
1222500,342
1222600,342
1222700,341
1222800,341
1222900,342
1223000,341
1223100,341
1223200,341
1223300,341
1223400,342
1223500,340
1223600,340
1223700,340
1223800,342
1223900,340
1232200,341
1232900,341
1234200,340
1234700,340
1234900,340
1240300,340
1240900,340
1241000,340
1242100,340
1242200,340
1242300,340
1242400,340
1242600,340
1242700,340
1244100,342
1244300,342
1246300,342
1310400,350
1310500,350
1310600,350
1310700,350
1310900,350
1311000,350
1311200,350
1311300,350
1311400,350
1311500,350
1311600,350
1311700,350
1311800,350
1311900,350
1312000,350
1312100,350
1312200,350
1312300,350
1320100,351
1320200,351
1320300,351
1320400,351
1320500,352
1320600,351
1320700,351
1320800,351
1320900,351
1321000,351
1321100,351
1321200,351
1321300,351
1321400,351
1321500,351
1321800,351
1321900,351
1322000,351
1322100,351
1322200,351
1322300,351
1322400,351
1322500,351
1322700,351
1322800,352
1322900,351
1330300,351
1330500,352
1330700,352
1330800,352
1336100,355
1336200,356
1336300,356
1336400,354
1338100,357
1338200,357
1340100,358
1340200,358
1342100,359
1420100,360
1420300,360
1420400,360
1420500,360
1420600,361
1420700,360
1420800,360
1421000,360
1421100,361
1421200,361
1421300,360
1421400,361
1421500,360
1421600,360
1421700,361
1421800,360
1430100,360
1432100,360
1434100,360
1434200,360
1436100,361
1436200,361
1436300,361
1436400,361
1436600,361
1438200,361
1438300,361
1438400,361
1440100,361
1440200,361
1520200,371
1520400,371
1520500,371
1520600,372
1520800,371
1520900,371
1521000,371
1521100,371
1521200,372
1521300,372
1521600,370
1521700,370
1521800,372
1522200,370
1522300,372
1522400,375
1522500,371
1522600,371
1522700,372
1530700,372
1534200,372
1536100,371
1538500,372
1540500,371
1546100,371
1548200,371
1550400,371
1558100,372
1558600,372
1620200,381
1620400,380
1620500,381
1620600,380
1620700,380
1620800,381
1620900,381
1621000,381
1621100,381
1632100,380
1632200,380
1632300,380
1634200,380
