11;北海道地方;ほっかいどうちほう;Hokkaido Region
12;東北地方;とうほくちほう;Tohoku Region
13;北陸地方;ほくりくちほう;Hokuriku Region
14;関東甲信地方;かんとうこうしんちほう;Kanto Koshin Region
15;小笠原地方;おがさわらちほう;Ogasawara Region
16;東海地方;とうかいちほう;Tokai Region
17;近畿地方;きんきちほう;Kinki Region
18;中国地方;ちゅうごくちほう;Chugoku Region
19;四国地方;しこくちほう;Shikoku Region
20;九州地方;きゅうしゅうちほう;Kyushu Region
21;沖縄地方;おきなわちほう;Okinawa Region
100;石狩地方北部;いしかりちほうほくぶ;Northern Part of Ishikari
101;石狩地方中部;いしかりちほうちゅうぶ;Central Part of Ishikari
102;石狩地方南部;いしかりちほうなんぶ;Southern Part of Ishikari
105;渡島地方北部;おしまちほうほくぶ;Northern Part of Oshima
106;渡島地方東部;おしまちほうひがしぶ;Eastern Part of Oshima
107;渡島地方西部;おしまちほうにしぶ;Western Part of Oshima
110;檜山地方;ひやまちほう;Hiyama Region
115;後志地方北部;しりべしちほうほくぶ;Northern Shiribeshi
116;後志地方東部;しりべしちほうひがしぶ;Eastern Shiribeshi
117;後志地方西部;しりべしちほうにしぶ;Western Shiribeshi
119;北海道奥尻島;ほっかいどうおくしりとう;Hokkaido Okushiri Island
120;空知地方北部;そらちちほうほくぶ;Northern Part of Sorachi
121;空知地方中部;そらちちほうちゅうぶ;Central Part of Sorachi
122;空知地方南部;そらちちほうなんぶ;Southern Part of Sorachi
125;上川地方北部;かみかわちほうほくぶ;Northern Part of Kamikawa
126;上川地方中部;かみかわちほうちゅうぶ;Central Part of Kamikawa
127;上川地方南部;かみかわちほうなんぶ;Southern Part of Kamikawa
130;留萌地方中北部;るもいちほうちゅうほくぶ;Northern Central Rumoi
131;留萌地方南部;るもいちほうなんぶ;Southern Part of Rumoi
135;宗谷地方北部;そうやちほうほくぶ;Northern Part of Soya
136;宗谷地方南部;そうやちほうなんぶ;Southern Part of Soya
139;北海道利尻礼文;ほっかいどうりしりれぶん;Hokkaido Rishiri Ribun Island 
140;網走地方;あばしりちほう;Abashiri Region
141;北見地方;きたみちほう;Kitami Region
142;紋別地方;もんべつちほう;Mombetsu Region
145;胆振地方西部;いぶりちほうにしぶ;Western Part of Iburi
